TT,AHU1_CCV-AHU1-Percentage,AHU1_DSP-AHU1-inch,AHU1_DSPSP-AHU1-inch,AHU1_MAT-AHU1-degree Fahrenheit,AHU1_MaxDMP-AHU1-Percentage,AHU1_RAT-AHU1-degree Fahrenheit,AHU1_SAT-AHU1-degree Fahrenheit,AHU1_SATSP-AHU1-degree Fahrenheit,AHU1_SFC-AHU1-No Unit,AHU1_SFS-AHU1-No Unit,AHU1_SupCFM-AHU1-cubic foot per minute,AHU1_SupVFD-AHU1-Percentage,AHU1_RHV-AHU1-Percentage
Fri  Feb 21 00:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),59.47  ( OK ),0.00  ( OK ),60.11  ( OK ),63.89  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 00:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),59.66  ( OK ),0.00  ( OK ),60.96  ( OK ),64.13  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 00:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),59.69  ( OK ),0.00  ( OK ),60.83  ( OK ),64.39  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 00:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),59.87  ( OK ),0.00  ( OK ),61.25  ( OK ),64.55  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 01:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),60.11  ( OK ),0.00  ( OK ),62.35  ( OK ),64.78  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 01:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),59.79  ( OK ),0.00  ( OK ),60.41  ( OK ),64.84  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 01:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),60.08  ( OK ),0.00  ( OK ),61.88  ( OK ),65.06  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 01:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),60.64  ( OK ),0.00  ( OK ),63.79  ( OK ),65.24  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 02:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),60.71  ( OK ),0.00  ( OK ),63.37  ( OK ),65.33  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
Fri  Feb 21 02:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),60.11  ( OK ),0.00  ( OK ),60.01  ( OK ),65.33  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),,0.00  ( OK )
