TT,AHU2_CCV-AHU2-Percentage,AHU2_DSP-AHU2-inch,AHU2_DSPSP-AHU2-inch,AHU2_MAT-AHU2-degree Fahrenheit,AHU2_MaxDMP-AHU2-Percentage,AHU2_RAT-AHU2-degree Fahrenheit,AHU2_RHV-AHU2-Percentage,AHU2_SAT-AHU2-degree Fahrenheit,AHU2_SATSP-AHU2-degree Fahrenheit,AHU2_SFC-AHU2-No Unit,AHU2_SFS-AHU2-No Unit,AHU2_SupCFM-AHU2-cubic foot per minute,AHU2_SupVFD-AHU2-No Unit,
Fri  Feb 21 00:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),58.17  ( OK ),0.00  ( OK ),66.16  ( OK ),0.00  ( OK ),62.08  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 00:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.81  ( OK ),0.00  ( OK ),67.34  ( OK ),0.00  ( OK ),62.48  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 00:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.98  ( OK ),0.00  ( OK ),66.98  ( OK ),0.00  ( OK ),62.81  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 00:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.80  ( OK ),0.00  ( OK ),67.40  ( OK ),0.00  ( OK ),63.11  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 01:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.69  ( OK ),0.00  ( OK ),67.97  ( OK ),0.00  ( OK ),63.36  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 01:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.82  ( OK ),0.00  ( OK ),67.05  ( OK ),0.00  ( OK ),63.55  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 01:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.72  ( OK ),0.00  ( OK ),67.68  ( OK ),0.00  ( OK ),63.77  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 01:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.58  ( OK ),0.00  ( OK ),69.44  ( OK ),0.00  ( OK ),63.90  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 02:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.61  ( OK ),0.00  ( OK ),69.21  ( OK ),0.00  ( OK ),63.99  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 02:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.93  ( OK ),0.00  ( OK ),66.81  ( OK ),0.00  ( OK ),64.04  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 02:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.01  ( OK ),0.00  ( OK ),67.55  ( OK ),0.00  ( OK ),63.99  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 02:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.44  ( OK ),0.00  ( OK ),66.30  ( OK ),0.00  ( OK ),63.98  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 03:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.08  ( OK ),0.00  ( OK ),67.33  ( OK ),0.00  ( OK ),64.01  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 03:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.39  ( OK ),0.00  ( OK ),66.12  ( OK ),0.00  ( OK ),63.99  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 03:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.25  ( OK ),0.00  ( OK ),66.21  ( OK ),0.00  ( OK ),63.99  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 03:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.20  ( OK ),0.00  ( OK ),66.11  ( OK ),0.00  ( OK ),63.99  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 04:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),57.49  ( OK ),0.00  ( OK ),64.92  ( OK ),0.00  ( OK ),63.98  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 04:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.39  ( OK ),0.00  ( OK ),65.92  ( OK ),0.00  ( OK ),63.91  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 04:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.51  ( OK ),0.00  ( OK ),65.95  ( OK ),0.00  ( OK ),63.90  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 04:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.75  ( OK ),0.00  ( OK ),66.70  ( OK ),0.00  ( OK ),63.85  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 05:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.43  ( OK ),0.00  ( OK ),65.20  ( OK ),0.00  ( OK ),63.75  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 05:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.20  ( OK ),0.00  ( OK ),66.03  ( OK ),0.00  ( OK ),63.58  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 05:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.35  ( OK ),0.00  ( OK ),65.92  ( OK ),0.00  ( OK ),63.45  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 05:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),97.07  ( OK ),0.00  ( OK ),64.99  ( OK ),99.99  ( OK ),67.30  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 06:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),101.53  ( OK ),0.00  ( OK ),65.02  ( OK ),99.99  ( OK ),74.74  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( Interpolated ),
Fri  Feb 21 06:15:00  CST,0.00  ( OK ),1.20  ( OK ),1.50  ( OK ),51.23  ( OK ),21.56  ( OK ),74.30  ( OK ),0.00  ( OK ),63.33  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),21025.38  ( OK ),0.00  ( Interpolated ),
