TT,AHU3_CCV-AHU3-Percentage,AHU3_DSP-AHU3-inch,AHU3_DSPSP-AHU3-inch,AHU3_MAT-AHU3-degree Fahrenheit,AHU3_MaxDMP-AHU3-Percentage,AHU3_RAT-AHU3-degree Fahrenheit,AHU3_RHV-AHU3-Percentage,AHU3_SAT-AHU3-degree Fahrenheit,AHU3_SATSP-AHU3-degree Fahrenheit,AHU3_SFC-AHU3-No Unit,AHU3_SFS-AHU3-No Unit,AHU3_SupCFM-AHU3-cubic foot per minute,
Fri  Feb 21 00:00:00  CST,0.00  ( OK ),,,58.62  ( OK ),0.00  ( OK ),56.80  ( OK ),0.00  ( OK ),68.19  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 00:15:00  CST,0.00  ( OK ),,,58.77  ( OK ),0.00  ( OK ),57.69  ( OK ),0.00  ( OK ),68.01  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 00:30:00  CST,0.00  ( OK ),,,58.72  ( OK ),0.00  ( OK ),57.67  ( OK ),0.00  ( OK ),67.89  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 00:45:00  CST,0.00  ( OK ),,,58.81  ( OK ),0.00  ( OK ),57.95  ( OK ),0.00  ( OK ),67.80  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 01:00:00  CST,0.00  ( OK ),,,58.97  ( OK ),0.00  ( OK ),58.88  ( OK ),0.00  ( OK ),67.72  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 01:15:00  CST,0.00  ( OK ),,,58.74  ( OK ),0.00  ( OK ),57.41  ( OK ),0.00  ( OK ),67.67  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 01:30:00  CST,0.00  ( OK ),,,58.84  ( OK ),0.00  ( OK ),58.60  ( OK ),0.00  ( OK ),67.66  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 01:45:00  CST,0.00  ( OK ),,,59.23  ( OK ),0.00  ( OK ),60.36  ( OK ),0.00  ( OK ),67.66  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 02:00:00  CST,0.00  ( OK ),,,59.37  ( OK ),0.00  ( OK ),59.78  ( OK ),0.00  ( OK ),67.66  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 02:15:00  CST,0.00  ( OK ),,,59.02  ( OK ),0.00  ( OK ),56.92  ( OK ),0.00  ( OK ),67.68  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 02:30:00  CST,0.00  ( OK ),,,58.60  ( OK ),0.00  ( OK ),57.72  ( OK ),0.00  ( OK ),67.68  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 02:45:00  CST,0.00  ( OK ),,,58.29  ( OK ),0.00  ( OK ),57.00  ( OK ),0.00  ( OK ),67.66  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 03:00:00  CST,0.00  ( OK ),,,58.44  ( OK ),0.00  ( OK ),57.69  ( OK ),0.00  ( OK ),67.60  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 03:15:00  CST,0.00  ( OK ),,,57.88  ( OK ),0.00  ( OK ),56.11  ( OK ),0.00  ( OK ),67.52  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 03:30:00  CST,0.00  ( OK ),,,57.91  ( OK ),0.00  ( OK ),56.78  ( OK ),0.00  ( OK ),67.41  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 03:45:00  CST,0.00  ( OK ),,,57.91  ( OK ),0.00  ( OK ),56.19  ( OK ),0.00  ( OK ),67.29  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 04:00:00  CST,0.00  ( OK ),,,57.47  ( OK ),0.00  ( OK ),55.15  ( OK ),0.00  ( OK ),67.13  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 04:15:00  CST,0.00  ( OK ),,,57.17  ( OK ),0.00  ( OK ),56.24  ( OK ),0.00  ( OK ),66.98  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 04:30:00  CST,0.00  ( OK ),,,57.15  ( OK ),0.00  ( OK ),55.81  ( OK ),0.00  ( OK ),66.84  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
Fri  Feb 21 04:45:00  CST,0.00  ( OK ),,,57.26  ( OK ),0.00  ( OK ),56.12  ( OK ),0.00  ( OK ),66.69  ( OK ),,0.00  ( OK ),0.00  ( OK ),,
