TT,AHU5_CCV-AHU5-Percentage,AHU5_DSP-AHU5-inch,AHU5_DSPSP-AHU5-inch,AHU5_MAT-AHU5-degree Fahrenheit,AHU5_PHT-AHU5-degree Fahrenheit,AHU5_MaxDMP-AHU5-Percentage,AHU5_RAT-AHU5-degree Fahrenheit,AHU5_RHV-AHU5-Percentage,AHU5_SAT-AHU5-degree Fahrenheit,AHU5_SFC-AHU5-No Unit,AHU5_SFS-AHU5-No Unit,AHU5_SupCFM-AHU5-cubic foot per minute,AHU5_SupVFD-AHU5-Percentage,AHU5_SATSP-AHU5-degree Fahrenheit
Fri  Feb 21 00:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.41  ( OK ),75.67  ( OK ),0.00  ( OK ),64.73  ( OK ),0.00  ( OK ),61.19  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 00:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.08  ( OK ),75.67  ( OK ),0.00  ( OK ),65.29  ( OK ),0.00  ( OK ),61.39  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 00:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.35  ( OK ),75.67  ( OK ),0.00  ( OK ),65.12  ( OK ),0.00  ( OK ),61.64  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 00:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.12  ( OK ),75.67  ( OK ),0.00  ( OK ),65.32  ( OK ),0.00  ( OK ),61.77  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 01:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.33  ( OK ),75.67  ( OK ),0.00  ( OK ),65.69  ( OK ),0.00  ( Fault ),62.03  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 01:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.97  ( OK ),75.67  ( OK ),0.00  ( OK ),65.16  ( OK ),0.00  ( OK ),62.10  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 01:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),56.30  ( OK ),75.67  ( OK ),0.00  ( OK ),65.47  ( OK ),0.00  ( Fault ),62.31  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 01:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.93  ( OK ),75.67  ( OK ),0.00  ( OK ),66.37  ( OK ),0.00  ( OK ),62.45  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 02:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.68  ( OK ),75.67  ( OK ),0.00  ( OK ),66.42  ( OK ),0.00  ( OK ),62.51  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 02:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.97  ( OK ),75.67  ( OK ),0.00  ( OK ),65.04  ( OK ),0.00  ( OK ),62.51  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 02:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.28  ( OK ),75.67  ( OK ),0.00  ( OK ),65.34  ( OK ),0.00  ( OK ),62.51  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 02:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.87  ( OK ),75.67  ( OK ),0.00  ( OK ),64.66  ( OK ),100.00  ( OK ),62.58  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 03:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.86  ( OK ),75.67  ( OK ),0.00  ( OK ),65.11  ( OK ),100.00  ( OK ),62.70  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 03:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.70  ( OK ),75.67  ( OK ),0.00  ( OK ),64.16  ( OK ),0.00  ( OK ),62.64  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 03:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.90  ( OK ),75.67  ( OK ),0.00  ( OK ),64.41  ( OK ),0.00  ( OK ),62.71  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 03:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.76  ( OK ),75.67  ( OK ),0.00  ( OK ),64.22  ( OK ),0.00  ( OK ),62.68  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 04:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.85  ( OK ),75.67  ( OK ),0.00  ( OK ),63.32  ( OK ),0.00  ( OK ),62.66  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 04:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.54  ( OK ),75.67  ( Fault ),0.00  ( OK ),63.77  ( OK ),0.00  ( Fault ),62.70  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 04:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.32  ( OK ),75.67  ( OK ),0.00  ( OK ),63.61  ( OK ),0.00  ( OK ),62.69  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 04:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.14  ( OK ),75.67  ( OK ),0.00  ( OK ),63.97  ( OK ),0.00  ( Fault ),62.64  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 05:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),55.22  ( OK ),75.67  ( OK ),0.00  ( OK ),62.95  ( OK ),0.00  ( OK ),62.57  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 05:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),54.23  ( OK ),75.67  ( OK ),0.00  ( OK ),63.34  ( OK ),0.00  ( OK ),62.47  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
Fri  Feb 21 05:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),54.31  ( OK ),75.67  ( OK ),0.00  ( OK ),63.08  ( OK ),0.00  ( OK ),62.38  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),57.00  ( Overridden )
