TT,AHU6_CCV-AHU6-Percentage,AHU6_DSP-AHU6-inch,AHU6_DSPSP-AHU6-inch,AHU6_MAT-AHU6-degree Fahrenheit,AHU6_MaxDMP-AHU6-Percentage,AHU6_RAT-AHU6-degree Fahrenheit,AHU6_SAT-AHU6-degree Fahrenheit,AHU6_SATSP-AHU6-degree Fahrenheit,AHU6_SFC-AHU6-No Unit,AHU6_SFS-AHU6-No Unit,AHU6_SupCFM-AHU6-cubic foot per minute,AHU6_SupVFD-AHU6-Percentage,
Fri  Feb 21 00:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.04  ( OK ),0.00  ( OK ),70.55  ( OK ),73.66  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 00:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.32  ( OK ),0.00  ( OK ),70.52  ( OK ),73.38  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 00:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.58  ( OK ),0.00  ( OK ),70.51  ( OK ),74.35  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 00:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.84  ( OK ),0.00  ( OK ),70.51  ( OK ),74.37  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 01:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.00  ( OK ),0.00  ( OK ),70.51  ( OK ),74.07  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 01:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.16  ( OK ),0.00  ( OK ),70.48  ( OK ),75.19  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 01:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.34  ( OK ),0.00  ( OK ),70.47  ( OK ),74.91  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 01:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.47  ( OK ),0.00  ( OK ),70.49  ( OK ),74.22  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 02:00:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.62  ( OK ),0.00  ( OK ),70.44  ( OK ),74.13  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 02:15:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.77  ( OK ),0.00  ( OK ),70.40  ( OK ),75.56  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 02:30:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.88  ( OK ),0.00  ( OK ),70.37  ( OK ),76.46  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Fri  Feb 21 02:45:00  CST,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.08  ( OK ),0.00  ( OK ),70.36  ( OK ),78.07  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
