TT,Global_OAH-global-Percentage,Global_OAT-global-degree Fahrenheit,OAWB-global-degree Fahrenheit,
Fri  Feb 21 00:00:00  CST,84.37  ( OK ),37.92  ( OK ),,
Fri  Feb 21 00:15:00  CST,84.16  ( OK ),37.76  ( OK ),,
Fri  Feb 21 00:30:00  CST,84.44  ( OK ),37.71  ( OK ),,
Fri  Feb 21 00:45:00  CST,84.97  ( OK ),37.60  ( OK ),,
Fri  Feb 21 01:00:00  CST,84.98  ( OK ),37.51  ( OK ),,
Fri  Feb 21 01:15:00  CST,84.14  ( OK ),37.46  ( OK ),,
Fri  Feb 21 01:30:00  CST,84.38  ( OK ),37.27  ( OK ),,
Fri  Feb 21 01:45:00  CST,85.15  ( OK ),37.14  ( OK ),,
Fri  Feb 21 02:00:00  CST,84.36  ( OK ),36.91  ( OK ),,
Fri  Feb 21 02:15:00  CST,84.17  ( OK ),36.62  ( OK ),,
Fri  Feb 21 02:30:00  CST,83.89  ( OK ),36.42  ( OK ),,
Fri  Feb 21 02:45:00  CST,84.17  ( OK ),36.35  ( OK ),,
Fri  Feb 21 03:00:00  CST,84.35  ( OK ),36.13  ( OK ),,
Fri  Feb 21 03:15:00  CST,83.23  ( OK ),35.56  ( OK ),,
Fri  Feb 21 03:30:00  CST,84.20  ( OK ),35.38  ( OK ),,
Fri  Feb 21 03:45:00  CST,84.14  ( OK ),35.09  ( OK ),,
Fri  Feb 21 04:00:00  CST,84.19  ( OK ),34.68  ( OK ),,
Fri  Feb 21 04:15:00  CST,86.76  ( OK ),34.02  ( OK ),,
Fri  Feb 21 04:30:00  CST,88.64  ( OK ),33.34  ( OK ),,
Fri  Feb 21 04:45:00  CST,87.61  ( OK ),33.03  ( OK ),,
Fri  Feb 21 05:00:00  CST,86.98  ( OK ),32.52  ( OK ),,
Fri  Feb 21 05:15:00  CST,87.16  ( OK ),32.18  ( OK ),,
Fri  Feb 21 05:30:00  CST,87.90  ( OK ),32.00  ( OK ),,
Fri  Feb 21 05:45:00  CST,85.14  ( OK ),31.70  ( OK ),,
Fri  Feb 21 06:00:00  CST,84.62  ( OK ),31.44  ( OK ),,
Fri  Feb 21 06:15:00  CST,84.30  ( OK ),31.23  ( OK ),,
Fri  Feb 21 06:30:00  CST,84.43  ( OK ),31.01  ( OK ),,
Fri  Feb 21 06:45:00  CST,84.68  ( OK ),30.93  ( OK ),,
Fri  Feb 21 07:00:00  CST,84.74  ( OK ),30.60  ( OK ),,
Fri  Feb 21 07:15:00  CST,85.13  ( OK ),30.25  ( OK ),,
Fri  Feb 21 07:30:00  CST,83.18  ( OK ),30.30  ( OK ),,
Fri  Feb 21 07:45:00  CST,83.79  ( OK ),29.94  ( OK ),,
Fri  Feb 21 08:00:00  CST,85.32  ( OK ),29.48  ( OK ),,
Fri  Feb 21 08:15:00  CST,83.19  ( OK ),29.59  ( OK ),,
Fri  Feb 21 08:30:00  CST,80.73  ( OK ),30.01  ( OK ),,
Fri  Feb 21 08:45:00  CST,79.74  ( OK ),30.21  ( OK ),,
Fri  Feb 21 09:00:00  CST,79.16  ( OK ),30.23  ( OK ),,
Fri  Feb 21 09:15:00  CST,78.30  ( OK ),30.81  ( OK ),,
Fri  Feb 21 09:30:00  CST,76.72  ( OK ),30.83  ( OK ),,
Fri  Feb 21 09:45:00  CST,77.16  ( OK ),30.63  ( OK ),,
Fri  Feb 21 10:00:00  CST,75.87  ( OK ),30.29  ( OK ),,
Fri  Feb 21 10:15:00  CST,75.05  ( OK ),29.82  ( OK ),,
Fri  Feb 21 10:30:00  CST,74.49  ( OK ),29.90  ( OK ),,
Fri  Feb 21 10:45:00  CST,73.54  ( OK ),30.96  ( OK ),,
Fri  Feb 21 11:00:00  CST,71.24  ( OK ),31.67  ( OK ),,
Fri  Feb 21 11:15:00  CST,71.72  ( OK ),31.41  ( OK ),,
Fri  Feb 21 11:30:00  CST,70.72  ( OK ),31.68  ( OK ),,
Fri  Feb 21 11:45:00  CST,71.54  ( OK ),31.74  ( OK ),,
Fri  Feb 21 12:00:00  CST,70.93  ( OK ),31.87  ( OK ),,
Fri  Feb 21 12:15:00  CST,69.41  ( OK ),32.02  ( OK ),,
Fri  Feb 21 12:30:00  CST,71.00  ( OK ),32.15  ( OK ),,
Fri  Feb 21 12:45:00  CST,68.98  ( OK ),32.04  ( OK ),,
Fri  Feb 21 13:00:00  CST,69.58  ( OK ),32.02  ( OK ),,
Fri  Feb 21 13:15:00  CST,68.98  ( OK ),32.15  ( OK ),,
Fri  Feb 21 13:30:00  CST,66.96  ( OK ),32.02  ( OK ),,
Fri  Feb 21 13:45:00  CST,68.86  ( OK ),32.48  ( OK ),,
Fri  Feb 21 14:00:00  CST,65.45  ( OK ),32.56  ( OK ),,
Fri  Feb 21 14:15:00  CST,65.93  ( OK ),32.64  ( OK ),,
Fri  Feb 21 14:30:00  CST,66.39  ( OK ),32.64  ( OK ),,
Fri  Feb 21 14:45:00  CST,63.04  ( OK ),32.77  ( OK ),,
Fri  Feb 21 15:00:00  CST,62.77  ( OK ),32.81  ( OK ),,
Fri  Feb 21 15:15:00  CST,60.93  ( OK ),32.85  ( OK ),,
Fri  Feb 21 15:30:00  CST,59.42  ( OK ),32.99  ( OK ),,
Fri  Feb 21 15:45:00  CST,59.96  ( OK ),33.17  ( OK ),,
Fri  Feb 21 16:00:00  CST,59.92  ( OK ),33.33  ( OK ),,
Fri  Feb 21 16:15:00  CST,62.14  ( OK ),33.45  ( OK ),,
Fri  Feb 21 16:30:00  CST,62.90  ( OK ),33.43  ( OK ),,
Fri  Feb 21 16:45:00  CST,63.76  ( OK ),33.36  ( OK ),,
Fri  Feb 21 17:00:00  CST,65.97  ( OK ),33.24  ( OK ),,
Fri  Feb 21 17:15:00  CST,67.86  ( OK ),33.11  ( OK ),,
Fri  Feb 21 17:30:00  CST,69.08  ( OK ),32.90  ( OK ),,
Fri  Feb 21 17:45:00  CST,70.48  ( OK ),32.70  ( OK ),,
Fri  Feb 21 18:00:00  CST,72.59  ( OK ),32.46  ( OK ),,
Fri  Feb 21 18:15:00  CST,73.79  ( OK ),32.32  ( OK ),,
Fri  Feb 21 18:30:00  CST,75.21  ( OK ),32.26  ( OK ),,
Fri  Feb 21 18:45:00  CST,76.21  ( OK ),32.25  ( OK ),,
Fri  Feb 21 19:00:00  CST,76.21  ( OK ),32.25  ( OK ),,
Fri  Feb 21 19:15:00  CST,76.30  ( OK ),32.19  ( OK ),,
Fri  Feb 21 19:30:00  CST,76.75  ( OK ),32.22  ( OK ),,
Fri  Feb 21 19:45:00  CST,77.51  ( OK ),32.17  ( OK ),,
Fri  Feb 21 20:00:00  CST,78.01  ( OK ),32.01  ( OK ),,
Fri  Feb 21 20:15:00  CST,79.21  ( OK ),31.83  ( OK ),,
Fri  Feb 21 20:30:00  CST,79.90  ( OK ),31.61  ( OK ),,
Fri  Feb 21 20:45:00  CST,80.58  ( OK ),31.29  ( OK ),,
Fri  Feb 21 21:00:00  CST,80.88  ( OK ),31.14  ( OK ),,
Fri  Feb 21 21:15:00  CST,81.37  ( OK ),31.63  ( OK ),,
Fri  Feb 21 21:30:00  CST,79.71  ( OK ),32.10  ( OK ),,
Fri  Feb 21 21:45:00  CST,78.62  ( OK ),32.13  ( OK ),,
Fri  Feb 21 22:00:00  CST,70.89  ( OK ),31.53  ( OK ),,
Fri  Feb 21 22:15:00  CST,66.36  ( OK ),31.27  ( OK ),,
Fri  Feb 21 22:30:00  CST,62.26  ( OK ),30.98  ( OK ),,
Fri  Feb 21 22:45:00  CST,63.77  ( OK ),30.61  ( OK ),,
Fri  Feb 21 23:00:00  CST,61.64  ( OK ),30.04  ( OK ),,
Fri  Feb 21 23:15:00  CST,63.36  ( OK ),29.25  ( OK ),,
Fri  Feb 21 23:30:00  CST,62.46  ( OK ),28.64  ( OK ),,
Fri  Feb 21 23:45:00  CST,62.75  ( OK ),28.21  ( OK ),,
Sat  Feb 22 00:00:00  CST,64.68  ( OK ),27.92  ( OK ),,
Sat  Feb 22 00:15:00  CST,65.99  ( OK ),27.63  ( OK ),,
Sat  Feb 22 00:30:00  CST,66.80  ( OK ),27.37  ( OK ),,
Sat  Feb 22 00:45:00  CST,68.61  ( OK ),27.13  ( OK ),,
Sat  Feb 22 01:00:00  CST,69.51  ( OK ),26.87  ( OK ),,
Sat  Feb 22 01:15:00  CST,71.02  ( OK ),26.61  ( OK ),,
Sat  Feb 22 01:30:00  CST,71.73  ( OK ),26.53  ( OK ),,
Sat  Feb 22 01:45:00  CST,72.94  ( OK ),26.54  ( OK ),,
Sat  Feb 22 02:00:00  CST,73.94  ( OK ),26.44  ( OK ),,
Sat  Feb 22 02:15:00  CST,74.04  ( OK ),26.28  ( OK ),,
Sat  Feb 22 02:30:00  CST,75.55  ( OK ),26.18  ( OK ),,
Sat  Feb 22 02:45:00  CST,74.54  ( OK ),26.12  ( OK ),,
Sat  Feb 22 03:00:00  CST,72.94  ( OK ),26.05  ( OK ),,
Sat  Feb 22 03:15:00  CST,72.44  ( OK ),25.95  ( OK ),,
Sat  Feb 22 03:30:00  CST,74.55  ( OK ),25.76  ( OK ),,
Sat  Feb 22 03:45:00  CST,74.54  ( OK ),25.45  ( OK ),,
Sat  Feb 22 04:00:00  CST,73.84  ( OK ),25.28  ( OK ),,
Sat  Feb 22 04:15:00  CST,73.74  ( OK ),25.11  ( OK ),,
Sat  Feb 22 04:30:00  CST,73.54  ( OK ),24.95  ( OK ),,
